name,num,cat
abf,616,abf
aldi,314,aldi
all,316,all
american,56,american
and,719,and
angus,168,angus
apple,995,apple
applewood,268,applewood
arm,1574,arm
armour,278,armour
artisan,208,artisan
asp,52,asparagus
baby,202,baby
backribs,330,backribs
bkrib,195,backribs
back,200,backribs
bacon,635,bacon
bcn,1879,bacon
bag,206,bag
bagel,445,bagel
bake,355,bake
bkd,1112,baked
bal,90,balance
ban,4,ban
banana,292,banana
bar,192,bar
base,300,base
bbq,336,bbq
bean,236,bean
beans,288,beans
beef,4039,beef
beer,189,beer
besfcf,257,besfcf
best,64,best
big,121,big
besf,217,birds eye steamfresh
biscuit,600,biscuit
bis,337,biscuit
biscuits,792,biscuits
bisc,1640,biscuits
bismark,1,bismark
bite,126,bite
bites,193,bites
black,756,black
blnd,99,bland
blend,835,blend
bld,105,blend
blue,312,blue
blueberry,579,blueberry
blubry,200,blueberry
bone,1123,bone
bonein,12,bone-in
boneless,1312,boneless
bnls,1276,boneless
bones,240,bones
boston,73,boston
bowl,242,bowl
box,844,box
bread,2321,bread
brd,3102,bread
breaded,576,breaded
brkfst,1,breakfast
breast,2206,breast
brst,2905,breast
bst,1813,breast
brisket,282,brisket
broccoli,1128,broccoli
brocc,392,broccoli
broc,957,broccoli
brown,234,brown
brownie,91,brownie
bulk,947,bulk
blk,583,bulk
bun,1155,bun
bungs,100,bungs
burger,62,burger
burrito,286,burrito
burr,34,burrito
butter,617,butter
butt,479,butter
btr,535,butter
buttermilk,611,buttermilk
btrmlk,209,buttermilk
bmlk,326,buttermilk
buttery,264,buttery
cab,98,cabbage
cake,494,cake
calcium,286,calcium
calf,3,calf
calif,86,california
cal,100,calories
calzone,285,calzone
cap,213,cap
car,153,car
caramel,120,caramel
carrots,90,carrots
cauliflower,155,cauliflower
cheddar,422,cheddar
chdr,204,cheddar
ched,184,cheddar
cheek,423,cheek
cheese,3295,cheese
chs,933,cheese
chz,1981,cheese
chep,1896,chep
cherry,372,cherry
cherubs,483,cherubs
chicken,4866,chicken
chick,291,chicken
chck,236,chicken
chic,254,chicken
chkn,1203,chicken
chk,685,chicken
ckn,4804,chicken
chili,67,chili
chip,514,chip
chnk,100,chnk
cho,8,cho
chocolate,550,chocolate
choc,1496,chocolate
choice,392,choice
chop,122,chop
chopped,113,chopped
cpck,209,chopped chicken
chub,1,chub
chuck,176,chuck
chunk,290,chunk
chunks,137,chunks
cinnabon,272,cinnabon
cinnamon,333,cinnamon
cinn,728,cinnamon
cin,313,cinnamon
classic,1557,classic
clsc,149,classic
clean,1596,clean
clod,45,clod
club,182,club
coc,247,cocca
coconut,157,coconut
cold,779,cold
combination,231,combinations
combo,1694,combo
conc,258,concentrated
cook,37,cook
cooked,547,cooked
ckd,419,cooked
cookie,254,cookie
cookies,242,cookies
cooler,312,cooler
corn,1073,corn
corned,336,corned
costco,631,costco
cottage,34,cottage
count,38,count
cty,912,country
cov,50,covered
crab,197,crab
crb,53,crb
cream,1428,cream
creme,143,cream
crm,679,cream
creek,2,creek
crk,1727,crock spreads
croissant,225,croissant
crois,311,Croissant
crossdock,799,crossdock
crust,654,crust
crst,227,crust
ctn,7,ctn
cup,242,cup
curly,262,curly
cushion,61,cushion
cut,2158,cut
cuts,243,cuts
drk,50,dark
date,418,date
dean,21,dean
dec,21,dec
deep,194,deep
deli,510,deli
dessert,89,dessert
dic,25,dic
diced,1346,diced
dssg,933,diced sausage
dinner,862,dinner
dip,26,dip
display,487,display
dixie,12,dixie
dock,239,dock
dominoes,222,dominoes
donut,167,donut
dnt,272,donut
dbl,303,double
dough,85,dough
dgh,561,dough
drs,102,drs
drum,157,drumstick
dry,371,dry
dunkin,319,dunkin
ear,254,ear
ears,387,ears
eck,1348,eck
edible,479,edible
egb,228,egb
egg,528,egg
eggs,251,eggs
ends,15,ends
english,214,english
essential,5,essential
evol,1050,evol
exp,231,exp
extra,201,extra
fajita,219,fajita
faj,373,fajita
fajitas,130,fajitas
family,528,family
fam,442,family
farm,176,farm
farms,333,farms
fat,404,fat
fcb,500,fcb
feet,1479,feet
fillet,392,fillet
flt,331,fillet
fil,224,filling
fish,130,fish
fsh,340,fish
flat,401,flat
flatbread,397,flatbread
florets,436,florets
flour,198,flour
food,77,food
vtf,530,food
footlong,203,footlong
for,420,for
forest,1029,forest
frk,242,frank
free,248,free
fto,526,freezer to oven
french,489,french
frnch,162,french
fresh,739,fresh
fried,313,fried
fries,78,fries
fritter,354,fritter
frtr,80,fritter
front,733,front
frozen,2825,frozen
froz,299,frozen
frzn,320,frozen
frz,1151,frozen
fruit,327,fruit
frt,652,fruit
fry,694,fry
fudge,59,fudge
full,374,full
fully,393,fully
gal,385,gallon
garden,140,garden
grdn,509,garden
garlic,1055,garlic
gar,224,garlic
genoa,365,genoa
glazed,195,glazed
glz,207,glazed
glen,815,glen
gold,139,gold
golden,111,golden
gldn,410,golden
gordon,237,gordon
grade,541,grade
grain,1560,grain
grands,362,grands
grp,839,grape
gravy,460,gravy
great,567,great
greek,50,greek
grk,4,greek
green,352,green
grn,444,green
grilled,230,grilled
ground,105,ground
grnd,357,ground
half,1724,half
hlf,339,half
hham,289,ham
ham,3593,ham
hambrg,297,hamburger
harvest,68,harvest
head,395,head
heart,209,heart
hearts,702,hearts
hvy,432,heavy
herb,74,herb
heb,312,herb
hind,727,hind
hml,751,hml
home,71,home
homestyle,171,homestyle
hmstyl,40,homestyle
hmst,287,homestyle
hon,135,honey
hot,582,hot
hotcake,369,hotcake
hotcakes,283,hotcakes
dogs,15,hotdogs
dog,173,hotdogs
hst,347,hst
icb,927,icb
ice,52,ice
iced,21,iced
icing,19,icing
icm,35,icm
imperial,708,imperial
intercom,264,intercom
iqf,1169,iqf
italian,483,italian
ital,293,italian
item,328,item
jalapeno,43,jalapeno
jeno,19,jeno
jnt,375,jnt
johns,485,johns
juice,489,juice
jumbo,570,jumbo
mufbtr,67,kellogg
kirkland,843,kirkland
kroger,234,kroger
label,1690,label
lactose,73,lactose
large,873,large
lasagna,179,lasagna
layer,64,layer
lyrs,8,layers
lbs,35,lbs
lean,243,lean
leg,896,leg
legs,541,legs
lemon,236,lemon
len,197,len
light,433,light
lime,99,lime
links,334,linkes
liquid,334,liquid
loaf,24,loaf
lion,30,loin
loin,745,loin
loins,123,loins
louis,101,louis
lmkr,1057,lunchmaker
lunchmate,866,lunchmate
macaroni,466,macaroni
mac,504,macaroni
mango,393,mango
maple,507,maple
mar,372,marinated
mrn,306,marinated
mashed,962,mashed
mcdonald,193,mcdonald
mcd,1262,mcdonald
meal,329,meal
meat,2092,meat
meatball,200,meatball
mtbl,203,meatball
meatballs,400,meatballs
med,642,med
medium,246,medium
menchies,205,menchies
mild,141,mild
milk,258,milk
mini,1902,mini
mint,40,mint
mix,525,mix
mixed,331,mixed
mlk,6,mlk
monarch,211,monarch
monrc,269,monarch
mousse,5,mousse
mozz,572,mozzarella
mpk,252,mpk
mrb,245,mrb
mre,1060,mre
muffin,1235,muffin
mfn,413,muffin
muf,290,muffin
multi,304,multi
multigrain,360,multigrain
